Model,Norm,Dataset,Batch Size,Trace,Eigen Mean,Eigen Variance,Max Eigen,Test Accuracy,Class Similarity,Mom & WD,Train Accuracy,SkipInit,Success,P Grouping,Gen. Ratio
VGG,EvoNormSO,CIFAR-100,256,5.810946261991216e-05,0.0115684863102658,0.2061457087392754,20.813988,39.422222222222224,0.96701735,False,99.96375644329896,True,True,32.0,0.3943651541804868
VGG,EvoNormSO,CIFAR-100,16,0.002210054007765154,0.111886068712237,2.429007751950861,193.01648,40.2,0.95949966,False,60.64740717029449,True,True,32.0,0.6628477930988983
ViT,EvoNormSO,CIFAR-10,16,5.8346250902022134e-05,0.0141856433781513,0.2460471482997305,29.681785,62.6,0.75840974,True,64.8407490396927,True,True,32.0,0.9654422709040421
ViT,EvoNormSO,CIFAR-10,256,7.31589055905706e-05,0.0566063541143349,2.87436472784012,11.400484,65.02222222222223,0.7490577,True,95.65480025773196,True,True,32.0,0.6797591134687081
ViT,EvoNormSO,CIFAR-10,16,0.0005070458507088021,0.0122116417789,0.946175180728586,309.04424,59.08888888888889,0.93688196,False,61.69974391805378,True,True,32.0,0.9576845078541577
ViT,EvoNormSO,CIFAR-10,256,0.0005969943727772767,0.0672373297637223,1.260996127120329,74.37656000000001,61.43333333333333,0.53741103,False,80.48485824742268,True,True,32.0,0.7632905700657127
ViT,EvoNormSO,CIFAR-100,16,0.0001772841640833994,0.0656919106677656,1.9295422763277128,25.375711000000003,35.888888888888886,0.5836837,True,46.79097311139565,True,True,32.0,0.7670045417403035
ViT,EvoNormSO,CIFAR-100,256,7.986794413919299e-06,0.0516774583540532,16.87031472270426,1.227354,37.17777777777778,0.54535335,True,99.94362113402062,True,True,32.0,0.37198750011192594
ViT,EvoNormSO,CIFAR-100,16,0.0009825402229627187,0.0429726024224438,1.307422523053939,196.78637,31.55555555555556,0.7884549,False,35.33130601792573,True,True,32.0,0.893133006165849
ViT,EvoNormSO,CIFAR-100,256,0.0002986390435895518,0.0636803037519058,1.1874914496270927,24.63598,30.344444444444445,0.6073922,False,99.8268363402062,True,True,32.0,0.303970811426215
ResNet-56,Filter_Response_Normalization,CIFAR-10,16,0.0002542038359838291,0.0745599623512835,2.2720585507358946,28.115206,83.84444444444445,0.5974451,True,88.2842509603073,False,True,32.0,0.9497100958826847
ResNet-56,Filter_Response_Normalization,CIFAR-10,256,5.707983348764885e-05,0.0716772493059583,6.763546667472809,5.0232,87.03333333333333,0.38548833,True,99.93959407216497,False,True,32.0,0.8708593840243917
ResNet-56,Filter_Response_Normalization,CIFAR-10,256,1.322238967475752e-05,0.0394796178050231,5.832368069063101,1.583426,88.21111111111111,0.5480133,True,100.0,True,True,32.0,0.8821111111111111
